,PrevClinName1,ClinCityCode,Year,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,TotCycles,TotFrozTrans,AvgCancel,AvgFreshBR,AvgFrozenBR,AvgNumFrshEmbry,AvgNumThwEmbry
0,ART PROGRAM OF ALABAMA,BIRMINGHAM,2000.0,159.0,46,24,6,28.3,23.9,20.8,16.666666666666668,14.5,8.7,29.2,33.333333333333336,31.57894736842105,40.0,0.0,0.0,19.0,5,1,0,6.0,3.0,2.0,1.0,0.0,6.0,1.0,3.0,3.6,3.5,3.8,0.0,0.0,0.0,0.0,235.0,25.0,21.433333333333334,22.416666666666668,17.894736842105264,3.4749999999999996,0.0
1,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,2000.0,78.0,32,16,5,17.9,15.6,6.25,0.0,12.8,15.6,12.5,20.0,0.0,0.0,0.0,0.0,3.0,1,0,1,24.0,11.0,8.0,6.0,0.0,12.0,1.0,4.4,4.3,4.1,7.3,0.0,0.0,0.0,0.0,131.0,5.0,15.225,9.9375,0.0,5.0249999999999995,0.0
2,CENTER FOR REPRODUCTIVE MEDICINE,MOBILE,2000.0,67.0,23,22,5,37.3,39.1,9.1,0.0,6.0,13.0,18.2,40.0,0.0,0.0,0.0,0.0,3.0,0,0,0,5.0,7.0,1.0,12.0,1.0,5.0,10.0,2.8,3.7,3.9,3.7,0.0,0.0,0.0,0.0,117.0,3.0,19.3,21.375,0.0,3.5250000000000004,0.0
3,UNIVERSITY OF SOUTH ALABAMA IVF AND ART PROGRAM,MOBILE,2000.0,10.0,11,6,0,40.0,0.0,66.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,0,22.0,3.0,0.0,18.0,0.0,15.0,0.0,3.5,4.1,3.3,0.0,0.0,0.0,0.0,0.0,27.0,4.0,0.0,26.666666666666668,0.0,2.7249999999999996,0.0
4,FERTILITY TREATMENT CENTER,CHANDLER,2000.0,61.0,32,25,18,36.1,28.1,12.0,5.555555555555555,13.1,12.5,12.0,16.666666666666668,36.4,30.76923076923077,50.0,0.0,22.0,13,6,4,16.0,3.0,15.0,4.0,1.0,9.0,2.0,2.4,2.7,2.8,2.6,0.0,0.0,0.0,0.0,136.0,45.0,13.566666666666666,20.43888888888889,29.29230769230769,2.625,0.0
5,WEST VALLEY FERTILITY CENTER,GLENDALE,2000.0,31.0,18,12,6,54.8,38.888888888888886,16.666666666666668,16.666666666666668,0.0,0.0,0.0,16.666666666666668,22.22222222222222,0.0,0.0,0.0,9.0,0,2,0,26.0,3.0,9.0,0.0,0.0,9.0,11.0,3.5,3.4,4.0,4.5,0.0,0.0,0.0,0.0,67.0,11.0,4.166666666666667,31.755555555555556,5.555555555555555,3.85,0.0
6,ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS,PHOENIX,2000.0,99.0,46,29,2,31.3,21.7,13.8,0.0,10.1,26.1,31.0,0.0,15.8,11.11111111111111,25.0,0.0,38.0,18,4,2,9.0,1.0,10.0,1.0,0.0,12.0,2.0,2.6,3.0,3.2,3.0,0.0,0.0,0.0,0.0,176.0,62.0,16.8,16.7,12.977777777777778,2.95,0.0
7,SOUTHWEST FERTILITY CENTER,PHOENIX,2000.0,15.0,4,4,0,66.66666666666667,50.0,75.0,0.0,6.666666666666667,0.0,25.0,0.0,0.0,100.0,0.0,0.0,0.0,1,0,0,8.0,12.0,0.0,15.0,0.0,19.0,0.0,2.9,3.0,3.3,0.0,0.0,0.0,0.0,0.0,23.0,1.0,7.916666666666667,47.91666666666667,25.0,2.3,0.0
8,ARIZONA CENTER FOR FERTILITY STUDIES,SCOTTSDALE,2000.0,94.0,50,54,19,26.6,16.0,13.0,10.526315789473685,4.3,2.0,14.8,5.2631578947368425,100.0,0.0,0.0,0.0,1.0,1,1,0,30.0,0.0,10.0,4.0,0.0,7.0,11.0,5.0,5.2,5.0,4.6,0.0,0.0,0.0,0.0,217.0,3.0,6.590789473684211,16.531578947368423,25.0,4.949999999999999,0.0
9,MAYO CLINIC SCOTTSDALE,SCOTTSDALE,2000.0,32.0,21,11,9,34.4,38.1,27.272727272727273,0.0,3.1,14.3,9.090909090909092,11.11111111111111,50.0,50.0,0.0,100.0,18.0,4,2,2,16.0,4.0,13.0,2.0,0.0,25.0,2.0,2.9,2.9,3.0,3.4,0.0,0.0,0.0,0.0,73.0,26.0,9.40050505050505,24.94318181818182,50.0,3.0500000000000003,0.0
10,"ART LABORATORY, UNIVERSITY PHYSICIANS, INC.",TUCSON,2000.0,11.0,4,9,3,45.45454545454545,25.0,22.22222222222222,33.333333333333336,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,11.0,3.0,11.0,0.0,0.0,3.0,0.0,2.6,2.7,3.4,2.7,0.0,0.0,0.0,0.0,27.0,1.0,6.25,31.502525252525253,0.0,2.8500000000000005,0.0
11,INTRAVAGINAL CULTURE FERTILIZATION PROGRAM OF ARKANSAS,LITTLE ROCK,2000.0,15.0,5,1,0,6.666666666666667,40.0,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,28.0,24.0,0.0,0.0,0.0,0.0,0.0,2.5,2.8,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,8.333333333333334,11.666666666666666,0.0,1.325,0.0
12,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES IVF,LITTLE ROCK,2000.0,115.0,40,27,8,39.1,35.0,22.2,0.0,13.0,15.0,18.5,62.5,26.3,16.666666666666668,0.0,0.0,38.0,12,3,0,26.0,10.0,8.0,15.0,1.0,12.0,6.0,2.3,2.2,2.9,3.5,0.0,0.0,0.0,0.0,190.0,53.0,27.25,24.075,10.741666666666667,2.725,0.0
