,index,CurrentClinicName1,CurrentClinicCity,CurrentClinicState,Year,TotCycles1,TotCycles2,TotCycles3,TotCycles4,TotSuccess1,TotSuccess2,TotSuccess3,TotSuccess4,ClinicNames
0,0,ART PROGRAM OF ALABAMA,BIRMINGHAM,ALABAMA,2000.0,178.0,51.0,25.0,6.0,29.939473684210526,31.95,10.4,8.333333333333334,ART FERTILITY PROGRAM OF ALABAMA BIRMINGHAM
1,1,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,ALABAMA,2000.0,81.0,33.0,16.0,6.0,8.95,7.8,3.125,0.0,UNIVERSITY OF ALABAMA AT BIRMINGHAM BIRMINGHAM
2,2,CENTER FOR REPRODUCTIVE MEDICINE,MOBILE,ALABAMA,2000.0,70.0,23.0,22.0,5.0,18.65,19.55,4.55,0.0,CENTER FOR REPRODUCTIVE MEDICINE MOBILE
3,3,FERTILITY TREATMENT CENTER,CHANDLER,ARIZONA,2000.0,83.0,45.0,31.0,22.0,36.25,29.434615384615384,31.0,2.7777777777777777,FERTILITY TREATMENT CENTER CHANDLER
4,4,WEST VALLEY FERTILITY CENTER,GLENDALE,ARIZONA,2000.0,40.0,18.0,14.0,6.0,38.511111111111106,19.444444444444443,8.333333333333334,8.333333333333334,WEST VALLEY FERTILITY CENTER GLENDALE
5,5,ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS,PHOENIX,ARIZONA,2000.0,137.0,64.0,33.0,4.0,23.55,16.405555555555555,19.4,0.0,"ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS, LLC PHOENIX"
6,6,ARIZONA CENTER FOR FERTILITY STUDIES,SCOTTSDALE,ARIZONA,2000.0,95.0,51.0,55.0,19.0,63.3,8.0,6.5,5.2631578947368425,ARIZONA CENTER FOR FERTILITY STUDIES SCOTTSDALE
7,7,MAYO CLINIC SCOTTSDALE,SCOTTSDALE,ARIZONA,2000.0,50.0,25.0,13.0,11.0,42.2,44.05,13.636363636363637,50.0,MAYO CLINIC SCOTTSDALE SCOTTSDALE
8,8,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES IVF,LITTLE ROCK,ARKANSAS,2000.0,153.0,52.0,30.0,8.0,32.7,25.833333333333336,11.1,0.0,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES IVF LITTLE ROCK
9,9,SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,BEVERLY HILLS    ,CALIFORNIA,2000.0,62.0,40.0,50.0,15.0,56.53333333333333,48.18333333333334,41.65,60.714285714285715,SOUTHERN CALIFORNIA REPRODUCTIVE CENTER BEVERLY HILLS
