,Unnamed: 0,Reviews_by_sentence,Clinic,Ratings,clean_answers,Topics
0,0,Columbia University Fertility center is an excellent fertility clinic as they have wonderful team of doctors,Columbia University Fertility,5,columbia university fertility center excellent fertility clinic wonderful team doctor,Clinic
1,1, We were seen by Dr Paula Brady at the Columbia University Clinic,Columbia University Fertility,5,see dr paula brady columbia university clinic,Nurse
2,2," She is an excellent doctor, who treats her patients at a very personal level",Columbia University Fertility,5,excellent doctor treat patient personal level,Doctor
3,3, Dr Brady took care of us and everything worked great for us,Columbia University Fertility,5,dr brady take care us everything work great us,Doctor
4,4,"The Clinic as a whole is also very good as it is open to patients on holidays, weekends, and even the new year holiday",Columbia University Fertility,5,clinic whole also good open patient holiday weekend even new year holiday,Clinic
5,5," The entire team of Dr Brady is very helpful, professional and listens to patient concerns with care and these issues are properly taken care off",Columbia University Fertility,5,entire team dr brady helpful professional listen patient concern care issue properly take care,Doctor
6,6," Even when you call them at a very short notice, they get back to you quite quickly",Columbia University Fertility,5,even call short notice get back quite quickly,Clinic
7,7,"I wish I could give them more than 5 stars and especially to Dr Brady, who is an excellent consultant and above all a great human being",Columbia University Fertility,5,wish could give 5 star especially dr brady excellent consultant great human,Doctor
8,8," I would often bother her with issues, which may not be of great significance but she would always get back very quickly either through email or phone",Columbia University Fertility,5,would often bother issue may not great significance would always get back quickly either email phone,Advice
9,9, She would even reply emails on Sundays,Columbia University Fertility,5,would even reply email sunday,Advice
10,10," She considers her patients as humans, understands them and design the program accordingly for each patient individually based on the specific requirements of the patients",Columbia University Fertility,5,consider patient humans understand design program accordingly patient individually base specific requirement patient,Protocols
11,11," She prepares a road map for a patient and follow it up till the end, which I really liked about her",Columbia University Fertility,5,prepare road map patient follow till end really like,Advice
12,12," There is nothing ambiguous about her plan, she makes everything simple and clear",Columbia University Fertility,5,nothing ambiguous plan make everything simple clear,Advice
13,13,"I would especially mention that even during this stressful Corona pandemic, she really managed everything so well and she ensured that I wasn't effected by it in anyway, for which I am really grateful to her",Columbia University Fertility,5,would especially mention even stressful corona pandemic really manage everything well ensure not effect anyway really grateful,Nurse
14,14, She is an expert of her field and very knowledgeable care provider in her field of expertise,Columbia University Fertility,5,expert field knowledgeable care provider field expertise,Advice
15,15, One can be inspired in many ways from her,Columbia University Fertility,5,one inspire many ways,Advice
16,16,God has deputed some angels in the form of humans and she is one of those angels working to help distressed people at a very personal level,Columbia University Fertility,5,god depute angel form humans one angel working help distress people personal level,Clinic
17,17, We felt honored to have been her patients,Columbia University Fertility,5,felt honor patient,Doctor
18,18, She makes you very comfortable during the entire procedure and ensures that you are not stressed during any phase in any way,Columbia University Fertility,5,make comfortable entire procedure ensure not stress phase way,Doctor
19,19,"While going through all this, you don't only need medications but you also need support and kind words from your medical team as well",Columbia University Fertility,5,going not need medication also need support kind words medical team well,Advice
20,20," So, when I felt low or felt nervous on some issue, I would contact Dr Brady and she would reply that ""it's fine"" or ""it will get better"" or ""its pretty normal"" made me feel great, even if I were not feeling good earlier",Columbia University Fertility,5,felt low felt nervous issue would contact dr brady would reply ' fine get better pretty normal make feel great even not feeling good earlier,Doctor
21,21," These words may seem pretty simple in normal English but believe me, coming from your physician when you are in distress works wonder and Dr Brady is great in communicating them in such a way that these lines would act as healer for me",Columbia University Fertility,5,words may seem pretty simple normal english believe coming physician distress works wonder dr brady great communicating way line would act healer,Doctor
22,22," The way Dr Brady used to say those things made my body believe that ""its pretty normal"" and it is very important in this treatment",Columbia University Fertility,5,way dr brady use say things make body believe pretty normal important treatment,Protocols
23,23,"If anyone is considering a fertility program, I would sincerely advise to consult Columbia Fertility and look for Dr Brady as she is the best resource",Columbia University Fertility,5,anyone consider fertility program would sincerely advise consult columbia fertility look dr brady best resource,Advice
24,24," And one last advice, when you become her patient, trust on her judgement and her team and believe me "" It will get better""",Columbia University Fertility,5,one last advice become patient trust judgement team believe get better,Advice
25,25,There aren't enough words to describe how amazing Dr Eric Forman and the staff at Columbia Fertility Center are,Columbia University Fertility,5,not not enough words describe amaze dr eric forman staff columbia fertility center,Doctor
26,26, My husband and I have been trying to conceive for years but was not having any luck,Columbia University Fertility,5,husband try conceive years not luck,Protocols
27,27, It all changed when we met Dr Forman,Columbia University Fertility,5,change meet dr forman,Protocols
28,28, Dr Forman broke down the process step by step for each procedure and made sure all was understood,Columbia University Fertility,5,dr forman break process step step procedure make sure understand,Protocols
29,29," Overall, the process was lengthy, but we were able to conceive on our first round of IVF",Columbia University Fertility,5,overall process lengthy able conceive first round ivf,Protocols
30,30," Dr Forman always took his time explaining, answering our questions, and never made us feel rushed",Columbia University Fertility,5,dr forman always take time explain answer question never make us feel rush,Doctor
31,31, I was able to contact Dr Forman at any time and always received a quick reply whether by email or by phone,Columbia University Fertility,5,able contact dr forman time always receive quick reply whether email phone,Doctor
32,32,The atmosphere at Columbia Fertility Center is warm and welcoming,Columbia University Fertility,5,atmosphere columbia fertility center warm welcome,Clinic
33,33, Its the nicest atmosphere I have ever experienced in a doctor's office,Columbia University Fertility,5,nice atmosphere ever experience doctor ' office,Clinic
34,34,"Thank you, Dr Forman, for helping us become parents of an amazing baby boy",Columbia University Fertility,5,thank dr forman helping us become parent amaze baby boy,Advice
35,35,We had an amazing experience,Columbia University Fertility,5,amaze experience,Clinic
36,36, First of all the whole place had a positive and light energy,Columbia University Fertility,5,first whole place positive light energy,Clinic
37,37, The entire stuff was always smiling,Columbia University Fertility,5,entire stuff always smiling,Clinic
38,38, Everyone was on point I didn't have to remind or explain anything to anyone,Columbia University Fertility,5,everyone point not remind explain anything anyone,Clinic
39,39, It felt like everything was done for us,Columbia University Fertility,5,felt like everything do us,Doctor
40,40, No stress no confusion,Columbia University Fertility,5,no stress no confusion,Protocols
41,41, We didn't know what to expect when we first decided to go to the fertility center,Columbia University Fertility,5,not know expect first decide go fertility center,Protocols
42,42, But honestly it all went so smooth and hustle free,Columbia University Fertility,5,honestly go smooth hustle free,Clinic
43,43, I had no confusion I knew what to do next every step of the way,Columbia University Fertility,5,no confusion know next every step way,Clinic
44,44, This was probably the most non-overwhelming doctor experience I have ever had,Columbia University Fertility,5,probably non overwhelm doctor experience ever,Clinic
45,45," Long story short, after several months we had a successful IVF in the first try :) Every doctor we worked with was incredible but our favorite by far was Dr Brady",Columbia University Fertility,5,long story short several month successful ivf first try :) every doctor work incredible favorite far dr brady,Doctor
46,46," We are definitely coming back for baby #2 :) Dr Brady was incredibly knowledgeable, professional, supportive and super sweet",Columbia University Fertility,5,definitely coming back baby 2 :) dr brady incredibly knowledgeable professional supportive super sweet,Doctor
47,47, She was always in touch and her entire team was on top of everything,Columbia University Fertility,5,always touch entire team top everything,Nurse
48,48, We were always updated the same day after our appointment,Columbia University Fertility,5,always update day appointment,Clinic
49,49, After such outstanding level of care and professionalism I decide to switch all my doctors to Columbia doctors!,Columbia University Fertility,5,outstanding level care professionalism decide switch doctor columbia doctor,Advice
50,50,I had a great experience with Columbia Fertility  doctors and staff over a couple of years,Columbia University Fertility,5,great experience columbia fertility doctor staff couple years,Clinic
51,51,  The staff was so friendly they felt like extended family while going through the ups and downs that can occur with fertility woes,Columbia University Fertility,5,staff friendly felt like extend family going up down occur fertility woe,Doctor
52,52,"  All who I interacted with were attentive and responsive- from the front desk staff, nursing staff, back office staff and the doctors",Columbia University Fertility,5,interact attentive responsive front desk staff nursing staff back office staff doctor,Clinic
53,53,"  Over the course of two years there were many who I interacted with and I would call out their names but I don't want to leave anyone out! It was a happy day to ""graduate"" and be released to my ob gyn with hugs and high fives from the staff and Dr Forman!  Fast forward to almost a year later and I'm a first time parent to a happy and healthy baby girl",Columbia University Fertility,5,course two years many interact would call names not want leave anyone happy day graduate release ob gyn hug high fives staff dr forman fast forward almost year later ' first time parent happy healthy baby girl,Doctor
54,54, thanks in part to the efforts of the former CWRC aka Columbia University Fertility,Columbia University Fertility,5,thanks part effort former cwrc aka columbia university fertility,Protocols
55,55, I'm happy to have chosen Columbia to address my fertility issues years ago!,Columbia University Fertility,5,' happy chosen columbia address fertility issue years ago,Protocols
56,56,We had a wonderful experience at Columbia University Fertility Center,Columbia University Fertility,5,wonderful experience columbia university fertility center,Clinic
57,57, Dr Karipcin was amazing and we were lucky to have her,Columbia University Fertility,5,dr karipcin amaze lucky,Doctor
58,58, She's a caring and compassionate doctor,Columbia University Fertility,5,caring compassionate doctor,Doctor
59,59,  She answered all my questions and concerns,Columbia University Fertility,5,answer question concern,Nurse
60,60," She was very supportive of me going forward with IVF, so we felt very confident under her care",Columbia University Fertility,5,supportive going forward ivf felt confident care,Doctor
61,61, We will definitely go back to her if we decide to have a 2nd baby!,Columbia University Fertility,5,definitely go back decide 2nd baby,Advice
62,62,My husband and I decided on Columbia after stumbling upon an insanely high review of Dr Forman via a blog post (and then further review stalking on Fertility IQ),Columbia University Fertility,5,husband decide columbia stumble upon insanely high review dr forman via blog post review stalking fertility iq,Advice
63,63, Dr Forman and the entire Columbia Fertility staff are the nicest people you'll ever come across throughout your fertility journey,Columbia University Fertility,5,dr forman entire columbia fertility staff nice people shall ever come across throughout fertility journey,Advice
64,64," The office space is bright and clean, the employees are constantly smiling, no matter what time of day it is, and the communication process cannot be beat",Columbia University Fertility,5,office space bright clean employee constantly smiling no matter time day communication process cannot beat,Clinic
65,65, The wait time for appointments is either nonexistent or extremely low considering other doctors offices I've been too,Columbia University Fertility,5,wait time appointment either nonexistent extremely low consider doctor office ',Clinic
66,66," Dr Forman is an open book and has the fastest response rate of pretty much anyone I've ever emailed with, period",Columbia University Fertility,5,dr forman open book fast response rate pretty much anyone ' ever email period,Doctor
67,67, No question is dumb or too small for him,Columbia University Fertility,5,no question dumb small,Advice
68,68, He gets how stressful of a process this is for you and truly does everything he can to make you feel as comfortable and well informed as possible,Columbia University Fertility,5,get stressful process truly everything make feel comfortable well inform possible,Advice
69,69," A few specific logistical perks of Columbia are that they make morning monitoring appointments for you (as opposed to first come, first served, walk-in time frames which is how a lot of other places do it)",Columbia University Fertility,5,specific logistical perk columbia make morning monitoring appointment oppose first come first serve walk time frame lot place,Clinic
70,70," Additionally, procedures are done on-site in the back surgical room (as opposed to going to the corresponding hospital which is also how other places seem to do it)",Columbia University Fertility,5,additionally procedure do site back surgical room oppose going correspond hospital also place seem,Clinic
71,71," Finally, instead of taking an injection class, we were able to sit down one-on-one with a nurse to go over the process",Columbia University Fertility,5,finally instead taking injection class able sit one one nurse go process,Protocols
72,72," These are little things, but make a huge difference throughout the experience",Columbia University Fertility,5,little things make huge difference throughout experience,Clinic
73,73," No matter what route you end up taking to get pregnant, there are a ton of appointments involved",Columbia University Fertility,5,no matter route end taking get pregnant ton appointment involve,Clinic
74,74, Columbia really has thought about all of the intricacies and has done a great job making it as streamlined as possible for patients,Columbia University Fertility,5,columbia really thought intricacy do great job making streamline possible patient,Doctor
75,75, A million thank you's to every single person we crossed paths with at Columbia- we are forever grateful for all of you and will definitely be back for baby #2!,Columbia University Fertility,5,million thank ' every single person cross path columbia forever grateful definitely back baby 2,Clinic
76,76,It took us 4,Columbia University Fertility,5,take us 4,Protocols
77,77,"5 years to get pregnant! I had some uterus issues, and we did 2 egg retrievals and 3 embryo transfers (3rd one worked!)",Columbia University Fertility,5,5 years get pregnant uterus issue 2 egg retrieval 3 embryo transfer 3rd one work !),Protocols
78,78," We've been with Columbia this entire time, and couldn't be happier with our decision",Columbia University Fertility,5,columbia entire time could not happy decision,Protocols
79,79," They make you feel welcome, they are fast, and they communicate well",Columbia University Fertility,5,make feel welcome fast communicate well,Clinic
80,80," Of course there were bad days, hormonal days, sad days, but through it all my care team was supportive! The nurses smile at you and they try to all learn your name",Columbia University Fertility,5,course bad days hormonal days sad days care team supportive nurse smile try learn name,Clinic
81,81," Dr Sinem Karipcin (Dr K) was positive, warm, and laughed with us through the good and bad times! I could not recommend Columbia more",Columbia University Fertility,5,dr sinem karipcin dr k positive warm laugh us good bad times could not recommend columbia,Doctor
82,82, The only downside is that I WISH that Dr K could be my OBGYN and deliver my baby!,Columbia University Fertility,5,downside wish dr k could obgyn deliver baby,Clinic
