,PrevClinName1,ClinCityCode,ClinStateCode,Year,ICSI_Rate,PGD_Rate,ND_TransLB1,ND_TransLB2,ND_TransLB3,ND_TransLB4,TotNumCyclesAll,TransFrozEmbAll,ClinicNames
1,ART FERTILITY PROGRAM OF ALABAMA,BIRMINGHAM,ALABAMA,2008.0,87.0,1.0,34.75,20.7,23.05,0.0,319.0,13.47962382445141,ART FERTILITY PROGRAM OF ALABAMA BIRMINGHAM
4,CENTER FOR REPRODUCTIVE MEDICINE,MOBILE,ALABAMA,2008.0,78.0,2.0,38.66666666666667,20.005555555555553,10.35,25.0,222.0,9.45945945945946,CENTER FOR REPRODUCTIVE MEDICINE MOBILE
7,WEST VALLEY FERTILITY CENTER,GLENDALE,ARIZONA,2008.0,91.0,2.0,41.6,25.4,16.0,38.63636363636364,154.0,19.48051948051948,WEST VALLEY FERTILITY CENTER GLENDALE
8,ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS,PHOENIX,ARIZONA,2008.0,60.0,3.0,39.25,26.450000000000003,17.7,25.0,336.0,34.226190476190474,"ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS, LLC PHOENIX"
14,FERTILITY TREATMENT CENTER,TEMPE,ARIZONA,2008.0,99.0,7.0,42.75,30.799999999999997,31.15,11.666666666666668,336.0,44.642857142857146,"FERTILITY TREATMENT CENTER, PC TEMPE"
15,ARIZONA CENTER FOR REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,TUCSON,ARIZONA,2008.0,35.0,8.0,41.400000000000006,32.150000000000006,16.96666666666667,23.571428571428573,336.0,29.166666666666668,ARIZONA CENTER FOR REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY TUCSON
17,ARKANSAS FERTILITY CENTER,LITTLE ROCK,ARKANSAS,2008.0,42.0,1.0,32.0,35.4,16.542857142857144,18.055555555555557,321.0,26.79127725856698,ARKANSAS FERTILITY CENTER LITTLE ROCK
22,SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,BEVERLY HILLS,CALIFORNIA,2008.0,56.0,33.0,50.75,48.35,38.8,29.15,430.0,14.418604651162791,SOUTHERN CALIFORNIA REPRODUCTIVE CENTER BEVERLY HILLS
25,CENTRAL CALIFORNIA IVF PROGRAM,CLOVIS,CALIFORNIA,2008.0,50.0,0.0,30.200000000000003,15.083333333333334,18.75,3.5714285714285716,189.0,18.51851851851852,CENTRAL CALIFORNIA IVF PROGRAM CLOVIS
26,ZOUVES FERTILITY CENTER,DALY CITY,CALIFORNIA,2008.0,94.0,46.0,27.46666666666667,33.15588235294118,20.305555555555557,9.1,372.0,11.827956989247312,ZOUVES FERTILITY CENTER FOSTER CITY
27,"CALIFORNIA IVF: DAVIS FERTILITY CENTER, INC.",DAVIS,CALIFORNIA,2008.0,50.0,15.0,31.15,24.784615384615385,26.5,5.0,200.0,29.0,"CALIFORNIA IVF: DAVIS FERTILITY CENTER, INC. DAVIS"
28,THE FERTILITY INSTITUTES,ENCINO,CALIFORNIA,2008.0,90.0,56.0,38.1,21.1,64.85,12.5,192.0,7.291666666666667,"THE FERTILITY INSTITUTES-LOS ANGELES, NEW YORK, GUADALAJARA ENCINO"
29,WEST COAST FERTILITY CENTERS,FOUNTAIN VALLEY,CALIFORNIA,2008.0,80.0,19.0,44.55,45.25,18.0,0.0,262.0,30.53435114503817,WEST COAST FERTILITY CENTER FOUNTAIN VALLEY
31,KAISER PERMANENTE CENTER FOR REPRODUCTIVE HEALTH,FREMONT,CALIFORNIA,2008.0,78.0,1.0,41.6,48.4,30.8,19.033333333333335,505.0,30.297029702970296,KAISER PERMANENTE CENTER FOR REPRODUCTIVE HEALTH-FREMONT FREMONT
34,"COASTAL FERTILITY MEDICAL CENTER, INC.",IRVINE,CALIFORNIA,2008.0,91.0,17.0,34.6,25.589473684210525,14.892857142857142,0.0,280.0,20.714285714285715,"COASTAL FERTILITY MEDICAL CENTER, INC. IRVINE"
35,FERTILITY CENTER OF SOUTHERN CALIFORNIA,IRVINE,CALIFORNIA,2008.0,89.0,1.0,35.75,26.683333333333337,21.65,5.2631578947368425,153.0,21.568627450980394,FERTILITY CENTER OF SOUTHERN CALIFORNIA IRVINE
36,REPRODUCTIVE FERTILITY CENTER,IRVINE,CALIFORNIA,2008.0,96.0,18.0,56.32777777777778,54.65,13.9,13.333333333333334,160.0,11.875,REPRODUCTIVE FERTILITY CENTER IRVINE
