,Unnamed: 0,Clinic_name,Ratings,Reviews,Num_Rating
0,0,Columbia University Fertility,5 star rating,"Columbia University Fertility center is an excellent fertility clinic as they have wonderful team of doctors. We were seen by Dr. Paula Brady at the Columbia University Clinic. She is an excellent doctor, who treats her patients at a very personal level. Dr. Brady took care of us and everything worked great for us.The Clinic as a whole is also very good as it is open to patients on holidays, weekends, and even the new year holiday. The entire team of Dr. Brady is very helpful, professional and listens to patient concerns with care and these issues are properly taken care off. Even when you call them at a very short notice, they get back to you quite quickly.I wish I could give them more than 5 stars and especially to Dr. Brady, who is an excellent consultant and above all a great human being. I would often bother her with issues, which may not be of great significance but she would always get back very quickly either through email or phone. She would even reply emails on Sundays. She considers her patients as humans, understands them and design the program accordingly for each patient individually based on the specific requirements of the patients. She prepares a road map for a patient and follow it up till the end, which I really liked about her. There is nothing ambiguous about her plan, she makes everything simple and clear.I would especially mention that even during this stressful Corona pandemic, she really managed everything so well and she ensured that I wasn't effected by it in anyway, for which I am really grateful to her. She is an expert of her field and very knowledgeable care provider in her field of expertise. One can be inspired in many ways from her.God has deputed some angels in the form of humans and she is one of those angels working to help distressed people at a very personal level. We felt honored to have been her patients. She makes you very comfortable during the entire procedure and ensures that you are not stressed during any phase in any way.While going through all this, you don't only need medications but you also need support and kind words from your medical team as well. So, when I felt low or felt nervous on some issue, I would contact Dr. Brady and she would reply that ""it's fine"" or ""it will get better"" or ""its pretty normal"" made me feel great, even if I were not feeling good earlier. These words may seem pretty simple in normal English but believe me, coming from your physician when you are in distress works wonder and Dr. Brady is great in communicating them in such a way that these lines would act as healer for me. The way Dr. Brady used to say those things made my body believe that ""its pretty normal"" and it is very important in this treatment.If anyone is considering a fertility program, I would sincerely advise to consult Columbia Fertility and look for Dr. Brady as she is the best resource. And one last advice, when you become her patient, trust on her judgement and her team and believe me "" It will get better"".",5
1,1,Columbia University Fertility,5 star rating,"There aren't enough words to describe how amazing Dr. Eric Forman and the staff at Columbia Fertility Center are. My husband and I have been trying to conceive for years but was not having any luck. It all changed when we met Dr. Forman. Dr. Forman broke down the process step by step for each procedure and made sure all was understood. Overall, the process was lengthy, but we were able to conceive on our first round of IVF. Dr. Forman always took his time explaining, answering our questions, and never made us feel rushed. I was able to contact Dr. Forman at any time and always received a quick reply whether by email or by phone.The atmosphere at Columbia Fertility Center is warm and welcoming. Its the nicest atmosphere I have ever experienced in a doctor's office.Thank you, Dr. Forman, for helping us become parents of an amazing baby boy.",5
2,2,Columbia University Fertility,5 star rating,"We had an amazing experience. First of all the whole place had a positive and light energy. The entire stuff was always smiling. Everyone was on point I didn't have to remind or explain anything to anyone. It felt like everything was done for us. No stress no confusion. We didn't know what to expect when we first decided to go to the fertility center. But honestly it all went so smooth and hustle free. I had no confusion I knew what to do next every step of the way. This was probably the most non-overwhelming doctor experience I have ever had. Long story short, after several months we had a successful IVF in the first try :) Every doctor we worked with was incredible but our favorite by far was Dr Brady. We are definitely coming back for baby #2 :) Dr Brady was incredibly knowledgeable, professional, supportive and super sweet. She was always in touch and her entire team was on top of everything. We were always updated the same day after our appointment. After such outstanding level of care and professionalism I decide to switch all my doctors to Columbia doctors!",5
3,3,Columbia University Fertility,5 star rating,"I had a great experience with Columbia Fertility  doctors and staff over a couple of years.  The staff was so friendly they felt like extended family while going through the ups and downs that can occur with fertility woes.  All who I interacted with were attentive and responsive- from the front desk staff, nursing staff, back office staff and the doctors.  Over the course of two years there were many who I interacted with and I would call out their names but I don't want to leave anyone out! It was a happy day to ""graduate"" and be released to my ob gyn with hugs and high fives from the staff and Dr Forman!  Fast forward to almost a year later and I'm a first time parent to a happy and healthy baby girl... thanks in part to the efforts of the former CWRC aka Columbia University Fertility. I'm happy to have chosen Columbia to address my fertility issues years ago!",5
4,4,Columbia University Fertility,5 star rating,"We had a wonderful experience at Columbia University Fertility Center. Dr Karipcin was amazing and we were lucky to have her. She's a caring and compassionate doctor.  She answered all my questions and concerns. She was very supportive of me going forward with IVF, so we felt very confident under her care. We will definitely go back to her if we decide to have a 2nd baby!",5
5,5,Columbia University Fertility,5 star rating,"My husband and I decided on Columbia after stumbling upon an insanely high review of Dr. Forman via a blog post (and then further review stalking on Fertility IQ). Dr. Forman and the entire Columbia Fertility staff are the nicest people you'll ever come across throughout your fertility journey. The office space is bright and clean, the employees are constantly smiling, no matter what time of day it is, and the communication process cannot be beat. The wait time for appointments is either nonexistent or extremely low considering other doctors offices I've been too. Dr. Forman is an open book and has the fastest response rate of pretty much anyone I've ever emailed with, period. No question is dumb or too small for him. He gets how stressful of a process this is for you and truly does everything he can to make you feel as comfortable and well informed as possible. A few specific logistical perks of Columbia are that they make morning monitoring appointments for you (as opposed to first come, first served, walk-in time frames which is how a lot of other places do it). Additionally, procedures are done on-site in the back surgical room (as opposed to going to the corresponding hospital which is also how other places seem to do it). Finally, instead of taking an injection class, we were able to sit down one-on-one with a nurse to go over the process. These are little things, but make a huge difference throughout the experience. No matter what route you end up taking to get pregnant, there are a ton of appointments involved. Columbia really has thought about all of the intricacies and has done a great job making it as streamlined as possible for patients. A million thank you's to every single person we crossed paths with at Columbia- we are forever grateful for all of you and will definitely be back for baby #2!",5
6,6,Columbia University Fertility,5 star rating,"It took us 4.5 years to get pregnant! I had some uterus issues, and we did 2 egg retrievals and 3 embryo transfers (3rd one worked!). We've been with Columbia this entire time, and couldn't be happier with our decision. They make you feel welcome, they are fast, and they communicate well. Of course there were bad days, hormonal days, sad days, but through it all my care team was supportive! The nurses smile at you and they try to all learn your name. Dr. Sinem Karipcin (Dr. K) was positive, warm, and laughed with us through the good and bad times! I could not recommend Columbia more. The only downside is that I WISH that Dr. K could be my OBGYN and deliver my baby!",5
7,7,Columbia University Fertility,1 star rating,Doctor was all talk no action.  Spends a lot of time detailing plans but then doesn't actually follow through.  No thanks for this place.,1
8,8,Columbia University Fertility,5 star rating,"My husband and I came to Columbia Fertility after having a terrible experience with another fertility doctor in Manhattan who made me feel old and defective. When we arrived at Columbia Fertility, we were impressed with the facility. It was welcoming, bright, and new, everything you want from a clinic. The receptionists were all nice and pleasant. The wait for appointments and morning monitoring was never long. The nurses and technicians became like friends. They were supportive and friendly, at a time when you really need to see a smile. Dr. Karipcin was our doctor and she was amazing. She is a smart, competent, and dedicated professional. She answered all our questions, answered our emails promptly, and was always positive. Once, when she was done with a procedure with a different patient, she quickly came to see me to personally review my ultrasound and speak to me. She is just a wonderfully compassionate and warm person. We were so lucky to have worked with her. She will always be a part of our family. We can't recommend her enough.",5
9,9,Columbia University Fertility,5 star rating,"We had a wonderful experience here, primarily because of dr Brady. From the very beginning till the end, she was very knowledgeable, attentive and considerate, and she was always easy to talk to and responded to our questions both in person and via email. Thank you doctor!",5
