,Reviews_by_sentence,Clinic,clean_answers
0,Columbia University Fertility center is an excellent fertility clinic as they have wonderful team of doctors,Columbia University Fertility,columbia university fertility center excellent fertility clinic wonderful team doctor
1, We were seen by Dr Paula Brady at the Columbia University Clinic,Columbia University Fertility,see dr paula brady columbia university clinic
2," She is an excellent doctor, who treats her patients at a very personal level",Columbia University Fertility,excellent doctor treat patient personal level
3, Dr Brady took care of us and everything worked great for us,Columbia University Fertility,dr brady take care work great
4,"The Clinic as a whole is also very good as it is open to patients on holidays, weekends, and even the new year holiday",Columbia University Fertility,clinic good open patient holiday weekend new year holiday
5," The entire team of Dr Brady is very helpful, professional and listens to patient concerns with care and these issues are properly taken care off",Columbia University Fertility,entire team dr brady helpful professional listen patient concern care issue properly take care
6," Even when you call them at a very short notice, they get back to you quite quickly",Columbia University Fertility,short notice quickly
7,"I wish I could give them more than 5 stars and especially to Dr Brady, who is an excellent consultant and above all a great human being",Columbia University Fertility,wish 5 star especially dr brady excellent consultant great human
8," I would often bother her with issues, which may not be of great significance but she would always get back very quickly either through email or phone",Columbia University Fertility,bother issue great significance quickly email phone
9, She would even reply emails on Sundays,Columbia University Fertility,reply email sunday
10," She considers her patients as humans, understands them and design the program accordingly for each patient individually based on the specific requirements of the patients",Columbia University Fertility,consider patient human understand design program accordingly patient individually base specific requirement patient
11," She prepares a road map for a patient and follow it up till the end, which I really liked about her",Columbia University Fertility,prepare road map patient follow till end like
12," There is nothing ambiguous about her plan, she makes everything simple and clear",Columbia University Fertility,ambiguous plan make simple clear
13,"I would especially mention that even during this stressful Corona pandemic, she really managed everything so well and she ensured that I wasn't effected by it in anyway, for which I am really grateful to her",Columbia University Fertility,especially mention stressful corona pandemic manage ensure effect grateful
14, She is an expert of her field and very knowledgeable care provider in her field of expertise,Columbia University Fertility,expert field knowledgeable care provider field expertise
15, One can be inspired in many ways from her,Columbia University Fertility,inspire way
16,God has deputed some angels in the form of humans and she is one of those angels working to help distressed people at a very personal level,Columbia University Fertility,god depute angel form human angel work help distress people personal level
17, We felt honored to have been her patients,Columbia University Fertility,feel honor patient
18, She makes you very comfortable during the entire procedure and ensures that you are not stressed during any phase in any way,Columbia University Fertility,make comfortable entire procedure ensure stress phase way
19,"While going through all this, you don't only need medications but you also need support and kind words from your medical team as well",Columbia University Fertility,go need medication need support kind word medical team
20," So, when I felt low or felt nervous on some issue, I would contact Dr Brady and she would reply that ""it's fine"" or ""it will get better"" or ""its pretty normal"" made me feel great, even if I were not feeling good earlier",Columbia University Fertility,feel low feel nervous issue contact dr brady reply fine well pretty normal feel great feel good early
21," These words may seem pretty simple in normal English but believe me, coming from your physician when you are in distress works wonder and Dr Brady is great in communicating them in such a way that these lines would act as healer for me",Columbia University Fertility,word pretty simple normal english believe come physician distress work wonder dr brady great communicate way line act healer
22," The way Dr Brady used to say those things made my body believe that ""its pretty normal"" and it is very important in this treatment",Columbia University Fertility,way dr brady thing body believe pretty normal important treatment
23,"If anyone is considering a fertility program, I would sincerely advise to consult Columbia Fertility and look for Dr Brady as she is the best resource",Columbia University Fertility,consider fertility program sincerely advise consult columbia fertility look dr brady well resource
24," And one last advice, when you become her patient, trust on her judgement and her team and believe me "" It will get better""",Columbia University Fertility,advice patient trust judgement team believe well
25,There aren't enough words to describe how amazing Dr Eric Forman and the staff at Columbia Fertility Center are,Columbia University Fertility,word describe amaze dr eric forman staff columbia fertility center
26, My husband and I have been trying to conceive for years but was not having any luck,Columbia University Fertility,husband try conceive year have luck
27, It all changed when we met Dr Forman,Columbia University Fertility,change meet dr forman
28, Dr Forman broke down the process step by step for each procedure and made sure all was understood,Columbia University Fertility,dr forman break process step step procedure sure understand
29," Overall, the process was lengthy, but we were able to conceive on our first round of IVF",Columbia University Fertility,overall process lengthy able conceive round ivf
30," Dr Forman always took his time explaining, answering our questions, and never made us feel rushed",Columbia University Fertility,dr forman take time explain answer question feel rush
31, I was able to contact Dr Forman at any time and always received a quick reply whether by email or by phone,Columbia University Fertility,able contact dr forman time receive quick reply email phone
32,The atmosphere at Columbia Fertility Center is warm and welcoming,Columbia University Fertility,atmosphere columbia fertility center warm welcome
33, Its the nicest atmosphere I have ever experienced in a doctor's office,Columbia University Fertility,nice atmosphere experience doctor office
34,"Thank you, Dr Forman, for helping us become parents of an amazing baby boy",Columbia University Fertility,thank dr forman help parent amaze baby boy
35,We had an amazing experience,Columbia University Fertility,amaze experience
36, First of all the whole place had a positive and light energy,Columbia University Fertility,place positive light energy
37, The entire stuff was always smiling,Columbia University Fertility,entire stuff smile
38, Everyone was on point I didn't have to remind or explain anything to anyone,Columbia University Fertility,point remind explain
39, It felt like everything was done for us,Columbia University Fertility,feel like
40, No stress no confusion,Columbia University Fertility,stress confusion
41, We didn't know what to expect when we first decided to go to the fertility center,Columbia University Fertility,know expect decide fertility center
42, But honestly it all went so smooth and hustle free,Columbia University Fertility,honestly go smooth hustle free
43, I had no confusion I knew what to do next every step of the way,Columbia University Fertility,confusion know step way
44, This was probably the most non-overwhelming doctor experience I have ever had,Columbia University Fertility,probably non overwhelm doctor experience
45," Long story short, after several months we had a successful IVF in the first try :) Every doctor we worked with was incredible but our favorite by far was Dr Brady",Columbia University Fertility,long story short month successful ivf try doctor work incredible favorite far dr brady
46," We are definitely coming back for baby #2 :) Dr Brady was incredibly knowledgeable, professional, supportive and super sweet",Columbia University Fertility,definitely come baby 2 dr brady incredibly knowledgeable professional supportive super sweet
47, She was always in touch and her entire team was on top of everything,Columbia University Fertility,touch entire team
48, We were always updated the same day after our appointment,Columbia University Fertility,update day appointment
